artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Kaiser Chiefs;Everyday I Love You Less And Less;217706;2005;160.028;rock;0.956;1;-4.556
Girls Aloud;Something Kinda Ooooh;201590;2012;131.925;pop, Dance/Electronic;0.908;11;-3.918
Ashanti;Rock Wit U (Awww Baby);209120;2003;94.998;hip hop, pop, R&B;0.797;4;-3.006
Faith Hill;There You'll Be;222120;2001;128.98;pop, country;0.511;8;-7.77
50 Cent;Ayo Technology;247946;2007;140.144;hip hop, pop;0.782;8;-5.44
Lloyd;Get It Shawty;209533;2007;128.014;hip hop, pop, R&B;0.905;5;-4.032
Lilly Wood and The Prick;Prayer in C - Robin Schulz Radio Edit;189399;2014;123.002;pop, rock;0.886;9;-5.356
Labrinth;Earthquake (feat. Tinie Tempah);274600;2012;153.071;pop;0.856;0;-3.966
Snoop Dogg;Young, Wild & Free (feat. Bruno Mars);207333;2011;95.078;hip hop, pop;0.655;0;-6.425
T-Pain;Buy U a Drank (Shawty Snappin') (feat. Yung Joc);227960;2007;80.001;hip hop, pop, R&B;0.55;1;-8.137
Tom Walker;Leave a Light On;185863;2017;68.976;rock, pop;0.624;5;-5.946
Jennifer Lopez;Dance Again;237266;2012;127.974;hip hop, pop, R&B;0.867;11;-5.242
DJ Sammy;Heaven;233600;2002;137.965;pop;0.953;8;-5.601
Fall Out Boy;Centuries;228360;2015;176.042;rock;0.858;4;-2.868
Nickelback;Photograph;258920;2005;145.916;rock, metal;0.876;8;-3.756
Iggy Azalea;Black Widow;209423;2014;163.99;hip hop, pop;0.72;11;-3.753
Lady A;Just A Kiss;218840;2011;142.881;pop, country;0.639;1;-5.826
Rita Ora;R.I.P. (feat. Tinie Tempah);228026;2012;72.022;hip hop, pop, Dance/Electronic;0.831;11;-3.443
Delta Goodrem;Born to Try;251280;2003;133.838;pop;0.589;8;-6.813
Enrique Iglesias;Bailando - Spanish Version;243386;2014;90.949;pop, latin;0.792;7;-3.519
Madonna;4 Minutes (feat. Justin Timberlake & Timbaland);189693;2009;113.029;pop;0.931;2;-4.922
Christina Perri;Jar of Hearts;246587;2011;74.541;pop;0.348;3;-6.142
Drake;Over;233560;2010;100.093;hip hop, pop, R&B;0.848;7;-5.611
Truth Hurts;Addictive;226440;2002;99.271;pop, R&B;0.677;11;-6.591
Black Eyed Peas;Let's Get It Started - Spike Mix;217733;2004;104.923;hip hop, pop;0.799;11;-2.208
Soulja Boy;Turn My Swag On;206333;2008;150.154;hip hop, pop;0.712;3;-3.104
LMFAO;Sexy And I Know It;199480;2011;130.021;hip hop, pop, Dance/Electronic;0.861;7;-4.225
T-Pain;Bartender (feat. Akon);238800;2007;104.987;hip hop, pop, R&B;0.394;8;-8.539
Major Lazer;Cold Water (feat. Justin Bieber & MØ);185351;2016;92.943;hip hop, pop, Dance/Electronic;0.798;6;-5.092
Eminem;Berzerk;238746;2013;95.084;hip hop;0.872;11;-4.059
Cascada;Evacuate The Dancefloor;207200;2009;127.029;hip hop, pop, Dance/Electronic;0.702;0;-5.87
Justin Timberlake;"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")";236001;2016;113.03;pop;0.83;0;-5.715
Tory Lanez;Say It;237786;2016;107.331;hip hop, pop, R&B;0.529;11;-10.511
Sugababes;Round Round;236426;2002;126.607;pop, R&B;0.845;6;-3.802
Ne-Yo;Let Me Love You (Until You Learn To Love Yourself);251626;2012;124.91;pop, R&B;0.677;5;-6.628
Macklemore & Ryan Lewis;Thrift Shop (feat. Wanz);235613;2012;94.992;hip hop, pop;0.526;6;-6.985
Rihanna;Needed Me;191600;2016;110.898;hip hop, pop, R&B;0.314;5;-8.091
The Band Perry;If I Die Young;222773;2010;130.739;country;0.497;4;-6.611
Chris Brown;Don't Wake Me Up;222306;2012;127.967;hip hop, pop, R&B;0.691;7;-5.197
Avicii;Without You (feat. Sandro Cavazza);181672;2017;133.993;pop, Dance/Electronic;0.858;2;-4.844
Cardi B;Please Me;200889;2019;133.992;hip hop, pop;0.57;1;-6.711
Kendrick Lamar;LOVE. FEAT. ZACARI.;213400;2017;126.058;hip hop;0.585;10;-7.343
Puddle Of Mudd;She Hates Me;216760;2001;109.781;rock, metal;0.748;4;-5.433
Destiny's Child;Soldier (feat. T.I. & Lil' Wayne);325573;2004;77.49;pop, R&B;0.417;7;-6.799
Red Hot Chili Peppers;Snow (Hey Oh);334666;2006;104.655;rock;0.9;11;-3.674
Adele;Skyfall;286480;2012;75.881;pop, R&B;0.552;0;-6.864
ZAYN;"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""";245200;2016;117.973;pop, Dance/Electronic;0.451;0;-8.374
Sugababes;Hole In The Head;218173;2003;125.011;pop, R&B;0.933;6;-4.629
Black Eyed Peas;Meet Me Halfway;284373;2009;130.0;hip hop, pop;0.629;11;-6.857
Liam Payne;Strip That Down;204502;2017;106.028;pop;0.485;6;-5.595
Alan Walker;Faded;212106;2018;179.642;Dance/Electronic;0.627;6;-5.085
Demi Lovato;Cool for the Summer;214746;2015;114.101;pop;0.613;5;-5.593
Lumidee;Never Leave You (Uh Oooh, Uh Oooh);184906;2003;199.958;pop, R&B;0.657;6;-6.197
P!nk;Who Knew;208493;2006;140.004;pop;0.734;9;-4.569
Brandy;What About Us?;253200;2002;93.118;hip hop, pop, R&B;0.698;5;-2.942
Childish Gambino;3005;235662;2013;82.92;hip hop;0.463;6;-6.542
Sam Smith;Like I Can;167065;2014;99.933;pop;0.627;7;-6.627
DJ Khaled;No Brainer;260000;2018;135.702;hip hop, pop;0.76;0;-4.706
No Doubt;It's My Life;226053;2003;126.326;rock, pop;0.735;8;-5.074
Toby Keith;As Good As I Once Was;227840;2005;119.075;country;0.87;5;-4.461
Alicia Keys;A Woman's Worth;303333;2001;75.09;pop, R&B;0.41;4;-8.323
Kesha;Take It Off;215200;2010;125.036;pop, Dance/Electronic;0.675;5;-5.292
Omarion;Ice Box;256426;2006;131.105;hip hop, pop, R&B;0.731;8;-5.446
Jay Sean;Down;212106;2009;65.997;hip hop, pop, R&B;0.695;2;-4.493
DJ Khaled;All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross);232506;2010;150.1;hip hop, pop;0.781;10;-3.616
Tom Jones;Sexbomb;211893;1999;122.979;rock, Folk/Acoustic, easy listening;0.876;8;-3.94
Lenny Kravitz;Again;231666;2000;79.166;rock, pop;0.804;2;-5.218
JAY-Z;Empire State Of Mind;276920;2009;173.585;hip hop;0.956;11;-1.538
Mýa;Case Of The Ex (Whatcha Gonna Do);236906;2000;98.0;pop, R&B;0.688;1;-4.715
Sheppard;Geronimo;218227;2014;142.016;pop, rock, Dance/Electronic;0.771;7;-6.275
Fabolous;Into You (feat. Tamia);295773;2003;182.12;hip hop, pop, R&B;0.538;7;-7.886
Mac Miller;Donald Trump;165908;2011;162.994;hip hop;0.901;1;-7.094
Skrillex;Bangarang (feat. Sirah);215253;2011;110.026;hip hop, pop, Dance/Electronic;0.972;7;-2.302
