artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Robbie Williams;Tripping;276603;2005;118.014;pop, rock;0.922;2;-4.458
Madonna;Music;225973;2000;119.854;pop;0.802;7;-8.527
Switchfoot;Meant to Live;201373;2003;151.551;rock, pop;0.903;2;-4.577
Florence + The Machine;Spectrum (Say My Name) - Calvin Harris Remix;218190;2011;126.092;rock, pop, Dance/Electronic;0.946;11;-3.85
Ed Sheeran;Thinking out Loud;281560;2014;78.998;pop;0.445;2;-6.061
Drake;One Dance;173986;2016;103.967;hip hop, pop, R&B;0.625;1;-5.609
T.I.;Live Your Life;338853;2008;159.841;hip hop, pop;0.862;11;-3.363
Maroon 5;"Moves Like Jagger - Studio Recording From ""The Voice"" Performance";201493;2010;128.044;pop;0.761;11;-4.459
Bazzi;Mine;131064;2018;142.929;pop, Dance/Electronic;0.789;4;-3.874
The Fratellis;Chelsea Dagger;215306;2006;154.514;rock;0.815;7;-3.14
Fabolous;Throw It In The Bag;231573;2009;172.049;hip hop, pop, R&B;0.55;11;-7.423
Taylor Swift;I Knew You Were Trouble.;219720;2012;77.019;pop;0.469;3;-6.798
Jonas Blue;Rise;194407;2018;106.046;pop, Dance/Electronic;0.785;1;-4.65
Future;Low Life (feat. The Weeknd);313546;2016;143.961;hip hop, pop;0.331;8;-7.789
Ariana Grande;God is a woman;197546;2018;145.031;pop;0.658;1;-5.934
Scissor Sisters;I Don't Feel Like Dancin';288360;2006;108.023;pop, rock, Dance/Electronic;0.923;7;-3.409
Alesha Dixon;The Boy Does Nothing;210680;2008;87.0;pop;0.972;3;-2.423
Gwen Stefani;The Sweet Escape;246466;2006;119.961;pop, R&B;0.77;1;-3.502
Enrique Iglesias;Be With You;219360;1999;121.996;pop, latin;0.866;1;-5.436
Bryson Tiller;Exchange;194613;2015;160.108;hip hop, pop, R&B;0.433;6;-10.598
Scouting For Girls;This Ain't a Love Song;210680;2017;176.667;pop, rock;0.905;0;-4.157
Cheryl;Fight For This Love;223253;2009;122.988;pop, Dance/Electronic;0.741;7;-5.873
KALEO;Way down We Go;219560;2015;81.663;rock, classical;0.578;10;-5.798
Olly Murs;Dear Darlin';206373;2012;124.021;pop, Dance/Electronic;0.828;11;-4.672
Migos;Bad and Boujee (feat. Lil Uzi Vert);343150;2017;127.079;hip hop, pop;0.666;11;-5.314
Trillville;Some Cut;283454;2004;84.995;hip hop, pop;0.515;1;-6.626
Rita Ora;How We Do (Party);247026;2012;116.024;hip hop, pop, Dance/Electronic;0.922;7;-3.94
Shakira;Underneath Your Clothes;224066;2001;165.508;pop, latin;0.597;8;-5.328
Lil Wayne;6 Foot 7 Foot;248586;2011;79.119;hip hop, pop;0.752;2;-5.429
XXXTENTACION;Jocelyn Flores;119133;2017;134.021;hip hop;0.391;0;-9.144
Chris Brown;Deuces (feat. Tyga & Kevin McCall);276560;2011;73.987;hip hop, pop, R&B;0.736;1;-5.109
Christina Aguilera;Ain't No Other Man;228906;2006;127.91;pop;0.742;7;-4.722
Avicii;Waiting For Love;230613;2015;127.999;pop, Dance/Electronic;0.736;6;-3.863
U2;Vertigo;193520;2004;140.083;World/Traditional, rock;0.819;9;-3.974
DJ Snake;Taki Taki (with Selena Gomez, Ozuna & Cardi B);212500;2018;95.881;hip hop, pop, Dance/Electronic;0.801;8;-4.167
The Ting Tings;That's Not My Name;310573;2008;145.042;pop, rock, Dance/Electronic;0.901;9;-3.152
Illy;Papercuts (feat. Vera Blue);255889;2016;191.863;hip hop, pop, Dance/Electronic;0.618;6;-6.304
Anne-Marie;Ciao Adios;200104;2017;106.083;pop, Dance/Electronic;0.882;4;-3.078
Justin Timberlake;Cry Me a River;288333;2002;73.898;pop;0.654;8;-6.582
Black Eyed Peas;Don't Lie;219000;2005;89.885;hip hop, pop;0.785;9;-5.299
Scooter;Nessaja;208449;2013;143.048;pop, Dance/Electronic;0.904;2;-6.642
Professor Green;Read All About It;235735;2011;100.963;Dance/Electronic;0.752;11;-5.522
Kelly Clarkson;Because of You;219493;2004;139.92;pop, R&B;0.583;5;-5.284
Migos;Stir Fry;190288;2018;181.982;hip hop, pop;0.816;2;-5.402
Nickelback;Gotta Be Somebody;252653;2008;115.998;rock, metal;0.89;0;-5.222
Robbie Williams;Radio;233600;2004;130.015;pop, rock;0.874;5;-5.409
George Michael;Amazing;265826;2004;128.429;set();0.754;10;-6.825
Capital Cities;Safe And Sound;192693;2013;117.952;pop;0.783;0;-4.829
Owl City;Good Time;205933;2012;126.05;rock, pop;0.872;3;-4.269
Gotye;Somebody That I Used To Know;244884;2011;129.054;set();0.527;0;-6.896
Take That;Patience;202066;2006;175.788;pop;0.783;10;-4.154
Ava Max;So Am I;183026;2019;130.089;pop;0.656;6;-4.67
B.o.B;Airplanes (feat. Hayley Williams of Paramore);180480;2010;93.033;hip hop, pop;0.867;6;-4.285
Robin Thicke;Blurred Lines;263053;2013;120.0;pop, R&B;0.504;7;-7.707
Akon;Right Now (Na Na Na);240746;2008;137.982;pop;0.857;8;-4.194
Kendrick Lamar;DNA.;185946;2017;139.928;hip hop;0.517;0;-6.759
Leona Lewis;A Moment Like This;257293;2007;70.543;pop, R&B;0.562;8;-3.667
Coldplay;Paradise;278719;2011;139.631;rock, pop;0.585;5;-6.761
Flo Rida;Whistle;224653;2012;103.976;hip hop, pop;0.937;0;-5.746
No Doubt;Hey Baby;207040;2001;93.63;rock, pop;0.872;11;-3.557
Lil Peep;Save That Shit;231546;2017;105.997;hip hop;0.583;2;-8.672
Carrie Underwood;Blown Away;240133;2012;136.991;pop, country;0.843;9;-2.569
The Streets;Fit but You Know It;254266;2004;172.302;hip hop, Dance/Electronic;0.844;6;-1.729
Ludacris;My Chick Bad;216933;2010;84.789;hip hop, pop;0.723;1;-6.782
OneRepublic;Secrets;224693;2009;148.021;pop;0.764;2;-6.223
3 Doors Down;Here Without You;238733;2002;143.994;pop, rock, metal;0.533;10;-6.817
Young Money;BedRock;288133;2009;148.005;hip hop, pop;0.664;8;-6.163
Usher;More - RedOne Jimmy Joker Remix;219986;2010;125.083;hip hop, pop, R&B;0.893;7;-2.628
Tinie Tempah;Pass Out;268053;2010;91.1;hip hop, pop, Dance/Electronic;0.891;1;-3.261
Calvin Harris;How Deep Is Your Love;212640;2015;122.003;hip hop, pop, Dance/Electronic;0.868;11;-4.373
Usher;Caught Up;224640;2004;110.086;hip hop, pop, R&B;0.806;6;-4.606
Keri Hilson;Turnin Me On - Original Dirty;248066;2008;159.873;pop, R&B;0.584;1;-5.09
Shayne Ward;That's My Goal;219600;2006;68.637;pop;0.508;2;-5.966
Ronan Keating;If Tomorrow Never Comes;214306;2002;79.01;pop, rock;0.496;10;-6.136
DJ Pied Piper & The Masters Of Ceremonies;Do You Really Like It? - Radio Edit;217120;2001;131.044;Dance/Electronic;0.877;2;-5.424
The Fray;You Found Me;241853;2009;151.994;pop;0.803;8;-5.412
Swedish House Mafia;Save The World;213337;2011;126.879;pop, Dance/Electronic;0.665;0;-7.598
Fifth Harmony;Worth It (feat. Kid Ink);224573;2015;99.987;pop;0.765;8;-3.865
Chris Brown;Kiss Kiss (feat. T-Pain);250666;2007;140.043;hip hop, pop, R&B;0.658;10;-3.386
Savage Garden;Crash and Burn;281466;1999;102.03;pop;0.607;4;-8.458
Mabel;Don't Call Me Up;178480;2019;98.994;pop, Dance/Electronic;0.881;9;-2.853
Eminem;Like Toy Soldiers;296880;2004;79.178;hip hop;0.768;8;-3.489
Florida Georgia Line;Cruise;208960;2012;148.0;country;0.948;10;-3.364
Tiësto;Jackie Chan;215759;2018;128.005;pop, Dance/Electronic;0.834;3;-2.867
Katy Perry;Part Of Me;216160;2012;130.028;pop;0.918;5;-4.63
Bryson Tiller;Don't;198293;2015;96.991;hip hop, pop, R&B;0.356;11;-5.556
Lady Gaga;Alejandro;274213;2009;98.998;pop;0.793;11;-6.63
Christina Aguilera;Can't Hold Us Down (feat. Lil' Kim);255266;2002;98.989;pop;0.658;8;-4.481
Ashanti;Happy;262226;2002;89.488;hip hop, pop, R&B;0.515;2;-6.553
Sidney Samson;Riverside;320348;2009;125.997;Dance/Electronic;0.976;1;-2.458
Fitz and The Tantrums;HandClap;193253;2016;139.956;pop, rock;0.836;8;-3.004
Selena Gomez & The Scene;Naturally;202586;2009;132.612;pop, Dance/Electronic;0.902;10;-5.406
Katy Perry;E.T.;229573;2012;151.684;pop;0.869;1;-5.252
Razorlight;In The Morning;222453;2006;124.191;rock, pop;0.855;4;-3.495
WILLOW;Wait a Minute!;196520;2015;101.003;pop, R&B, Dance/Electronic;0.705;3;-5.279
Rizzle Kicks;Down With The Trumpets;186851;2011;115.057;hip hop;0.88;4;-4.689
Pitbull;Timber (feat. Ke$ha);204160;2012;129.992;hip hop, pop, latin;0.963;11;-4.087
Sean Kingston;Beautiful Girls;225373;2007;130.009;hip hop, pop, R&B;0.661;1;-6.075
Birdy;Wings;252106;2013;83.235;pop;0.707;7;-4.534
The Chainsmokers;Don't Let Me Down;208373;2016;159.803;pop, Dance/Electronic;0.869;11;-5.094
Sean Paul;She Doesn't Mind;227786;2012;120.015;hip hop, pop;0.776;7;-5.208
Rihanna;S&M;243533;2010;127.975;hip hop, pop, R&B;0.682;1;-5.02
PARTYNEXTDOOR;Not Nice;202661;2016;128.06;hip hop, pop, R&B;0.496;0;-9.309
Avicii;SOS (feat. Aloe Blacc);157202;2019;100.001;pop, Dance/Electronic;0.645;5;-6.181
Robbie Williams;Rock DJ;258560;2000;103.035;pop, rock;0.772;7;-4.264
Ida Corr;Let Me Think About It;151973;2012;129.026;set();0.754;0;-3.425
Marshmello;Alone;273802;2016;141.99;pop, Dance/Electronic;0.953;2;-3.739
Lasgo;Something;220973;2001;140.01;pop;0.981;7;-6.644
Kanye West;Through The Wire;221226;2004;83.089;hip hop;0.739;7;-6.11
Maggie Lindemann;Pretty Girl - Cheat Codes X CADE Remix;193613;2017;121.03;rock, pop;0.868;7;-4.661
Mariah Carey;Touch My Body;204733;2008;78.502;pop, R&B;0.665;4;-7.736
Cardi B;Money;183527;2018;130.003;hip hop, pop;0.59;8;-6.508
Rihanna;Where Have You Been;242680;2011;127.963;hip hop, pop, R&B;0.847;0;-6.34
Nelly Furtado;Maneater;258893;2006;132.722;hip hop, pop, latin;0.777;6;-4.81
Finger Eleven;Paralyzer;208106;2007;106.031;rock, metal;0.939;11;-3.486
Timbaland;Give It To Me;234026;2007;110.621;hip hop, pop, R&B;0.711;8;-3.904
Katy Perry;Firework;227893;2010;124.071;pop;0.832;8;-5.039
Sugababes;Too Lost In You;237693;2003;98.014;pop, R&B;0.705;1;-4.904
N.E.R.D;She Wants To Move;213786;2004;115.012;hip hop;0.851;5;-4.831
Avril Lavigne;Nobody's Home;212413;2004;185.406;pop;0.907;5;-3.66
Jason Derulo;Swalla (feat. Nicki Minaj & Ty Dolla $ign);216408;2017;98.064;hip hop, pop;0.817;1;-3.862
Tinchy Stryder;Number 1;212773;2009;114.912;pop, Dance/Electronic;0.824;0;-3.912
Dynoro;In My Mind;184560;2018;125.905;pop, Dance/Electronic;0.77;6;-5.335
Ariana Grande;7 rings;178626;2019;140.048;pop;0.317;1;-10.732
Keane;Is It Any Wonder?;186173;2006;129.352;pop;0.955;11;-2.771
Natalie La Rose;Somebody;189906;2014;104.99;set();0.52;0;-8.714
Rixton;Me And My Broken Heart;193733;2014;174.084;pop;0.783;5;-4.261
Tyga;Taste (feat. Offset);232959;2018;97.994;hip hop, pop;0.559;0;-7.442
Ne-Yo;Miss Independent;232000;2008;171.812;pop, R&B;0.673;1;-5.714
Soulja Boy;Crank That (Soulja Boy);221933;2007;140.141;hip hop, pop;0.74;0;-2.18
Sting;Desert Rose;285960;1999;111.989;rock, pop;0.659;0;-7.92
Coldplay;Viva La Vida;242373;2008;138.015;rock, pop;0.617;5;-7.115
Maroon 5;One More Night;219546;2012;92.997;pop;0.821;5;-3.435
Pitbull;Time of Our Lives;229360;2014;124.022;hip hop, pop, latin;0.802;1;-5.797
The Notorious B.I.G.;Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster;286186;2005;106.328;hip hop;0.628;2;-7.041
Adele;Someone Like You;285240;2011;135.047;pop, R&B;0.321;9;-8.251
September;Cry for You;209800;2007;130.018;pop, Dance/Electronic;0.881;9;-3.988
Fetty Wap;679 (feat. Remy Boyz);196693;2015;190.05;hip hop, pop;0.717;7;-5.738
P!nk;U + Ur Hand;214386;2006;141.04;pop;0.891;0;-3.688
Disclosure;White Noise;277687;2013;119.978;pop, Dance/Electronic;0.844;10;-6.164
Taylor Swift;Look What You Made Me Do;211853;2017;128.07;pop;0.709;9;-6.471
Keyshia Cole;Last Night;255706;2007;121.006;hip hop, pop, R&B;0.857;3;-5.032
Madison Avenue;Don't Call Me Baby;228140;1999;124.999;Dance/Electronic;0.982;3;-6.588
Wayne Wonder;No Letting Go;202013;2003;100.215;hip hop, R&B;0.819;5;-5.656
Zedd;I Want You To Know;238800;2015;130.003;hip hop, pop, Dance/Electronic;0.877;9;-2.215
LMC;Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit;171546;2004;128.658;Dance/Electronic;0.905;6;-5.395
Ariana Grande;The Way;227026;2013;82.324;pop;0.878;5;-3.208
Rihanna;Umbrella;275986;2008;174.028;hip hop, pop, R&B;0.829;1;-4.603
Tinie Tempah;Written in the Stars (feat. Eric Turner);207653;2010;91.881;hip hop, pop, Dance/Electronic;0.931;7;-4.188
Little Mix;Wings;219733;2012;114.962;pop;0.875;7;-3.141
OneRepublic;Wherever I Go;169773;2016;99.961;pop;0.689;10;-6.444
Ray J;One Wish;337640;2005;127.673;hip hop, pop, R&B;0.652;5;-7.042
Calvin Harris;Outside (feat. Ellie Goulding);227266;2014;128.035;hip hop, pop, Dance/Electronic;0.823;2;-4.123
The Chainsmokers;Closer;244960;2016;95.01;pop, Dance/Electronic;0.524;8;-5.599
Bruno Mars;The Lazy Song;189109;2010;174.915;pop;0.711;8;-5.124
Migos;Walk It Talk It;276147;2018;145.914;hip hop, pop;0.633;2;-5.145
Petit Biscuit;Sunset Lover;237792;2015;90.838;Dance/Electronic;0.467;6;-9.474
JAY-Z;Izzo (H.O.V.A.);240626;2001;84.411;hip hop;0.844;1;-4.051
Clean Bandit;Tears (feat. Louisa Johnson);225914;2016;130.037;pop, Dance/Electronic;0.77;5;-3.645
Shayne Ward;No Promises;223066;2006;79.798;pop;0.498;4;-6.087
Take That;Rule The World - Radio Edit;237760;2007;164.054;pop;0.774;2;-4.226
Sam Smith;Stay With Me;172723;2014;84.094;pop;0.42;0;-6.444
Calvin Harris;Sweet Nothing (feat. Florence Welch);212560;2012;127.934;hip hop, pop, Dance/Electronic;0.929;8;-3.942
Amy Winehouse;Rehab;214946;2006;71.815;R&B;0.558;0;-13.609
G-Unit;Wanna Get To Know You;265026;2003;76.91;hip hop, pop;0.826;10;-3.651
Ellie Goulding;"Love Me Like You Do - From ""Fifty Shades Of Grey""";252534;2015;189.857;pop, rock, Dance/Electronic;0.606;8;-6.646
Jason Derulo;Wiggle (feat. Snoop Dogg);193295;2013;81.946;hip hop, pop;0.621;9;-6.886
Sebastian Ingrosso;Reload - Radio Edit;221272;2013;128.045;pop, Dance/Electronic;0.724;9;-4.633
Robyn;With Every Heartbeat;254920;2005;120.872;pop, Dance/Electronic;0.865;4;-4.462
Otto Knows;Million Voices - Radio Edit;192866;2012;125.946;pop, Dance/Electronic;0.894;8;-6.298
Maroon 5;Makes Me Wonder;211080;2007;113.996;pop;0.851;7;-2.429
Coldplay;Clocks;307879;2002;130.97;rock, pop;0.749;5;-7.215
Duffy;Mercy;219920;2008;129.911;pop, R&B;0.859;0;-3.774
Kendrick Lamar;m.A.A.d city;350120;2012;91.048;hip hop;0.729;2;-6.815
Sofía Reyes;1, 2, 3 (feat. Jason Derulo & De La Ghetto);201526;2018;94.968;pop, latin;0.895;1;-3.112
The Saturdays;Higher;207613;2010;117.011;pop, Dance/Electronic;0.862;10;-3.292
Frank Ocean;Pink + White;184516;2016;159.738;hip hop, pop, R&B;0.552;9;-7.45
Madonna;American Pie;273533;2000;124.036;pop;0.734;5;-7.48
Sia;Elastic Heart;257200;2014;130.075;pop;0.791;9;-4.998
Mariah Carey;We Belong Together;201400;2005;139.987;pop, R&B;0.476;0;-7.918
Missy Elliott;Work It;263226;2002;101.868;hip hop, pop, R&B;0.677;1;-5.603
P!nk;"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")";215413;2016;162.958;pop;0.702;7;-5.92
Basement Jaxx;Romeo;217493;2001;126.853;pop, Dance/Electronic;0.829;2;-4.171
Aaliyah;Try Again;284000;2002;93.02;hip hop, pop, R&B;0.622;6;-5.642
Eminem;Shake That;274440;2005;107.005;hip hop;0.643;1;-5.785
Lorde;Team;193058;2013;100.05;pop, Dance/Electronic;0.582;6;-7.444
Justin Bieber;Love Yourself;233720;2015;100.418;pop;0.378;4;-9.828
Puddle Of Mudd;Blurry;303920;2001;157.469;rock, metal;0.936;3;-4.537
Alessia Cara;Here;199453;2015;120.892;pop, R&B;0.799;0;-4.031
Daddy Yankee;Dura;200480;2018;95.001;latin;0.84;1;-3.416
Bastille;Pompeii;214147;2013;127.435;pop, rock;0.715;9;-6.383
Ne-Yo;Mad;254533;2008;129.94;pop, R&B;0.644;0;-5.348
The Veronicas;Untouched;255360;2005;177.008;pop, Dance/Electronic;0.783;6;-4.893
Steve Aoki;Just Hold On;198774;2016;114.991;hip hop, pop, Dance/Electronic;0.932;11;-3.515
Katy Perry;I Kissed A Girl;179640;2008;129.996;pop;0.76;5;-3.173
Guru Josh Project;Infinity 2008;190013;2011;127.999;hip hop;0.849;7;-6.139
Lil Wayne;A Milli;221840;2008;151.486;hip hop, pop;0.695;6;-8.636
3 Doors Down;Let Me Go;243053;2012;92.004;pop, rock, metal;0.863;1;-4.914
Philip George;Wish You Were Mine - Radio Edit;177560;2014;123.002;pop, Dance/Electronic;0.832;7;-4.164
Rui Da Silva;Touch Me (Radio Edit) [feat. Cassandra];213133;2001;129.078;Dance/Electronic;0.922;0;-8.399
Nina Sky;Move Ya Body;232000;2004;121.057;pop, R&B;0.712;11;-6.313
James Blunt;You're Beautiful;209493;2005;81.998;pop;0.479;0;-9.87
Ciara;Love Sex Magic (feat. Justin Timberlake);220426;2009;107.011;pop, R&B;0.666;10;-5.089
John Legend;All of Me;269560;2013;119.93;pop, R&B;0.264;8;-7.064
AWOLNATION;Sail;259102;2011;119.038;pop, rock;0.435;1;-9.582
Gnarls Barkley;Crazy;177466;2006;111.97;hip hop, R&B;0.587;8;-4.589
Dua Lipa;IDGAF;217946;2017;97.028;pop;0.544;7;-5.975
Sheck Wes;Mo Bamba;183906;2018;146.034;hip hop;0.625;4;-5.266
Paloma Faith;Only Love Can Hurt Like This;232893;2014;90.99;pop, R&B, Dance/Electronic;0.885;8;-4.528
One Direction;Drag Me Down;192120;2015;138.113;pop;0.703;0;-5.672
Ludacris;Get Back;270746;2004;171.609;hip hop, pop;0.639;1;-5.16
Ludacris;Rollout (My Business);296586;2001;131.059;hip hop, pop;0.668;7;-8.73
Charlie Puth;Attention;211475;2017;100.041;pop;0.626;3;-4.432
The Red Jumpsuit Apparatus;Face Down;192000;2006;92.956;pop;0.932;7;-2.189
Gabrielle;Out Of Reach;196986;2001;182.862;pop, R&B;0.48;11;-6.567
Drake;Jumpman;205879;2015;142.079;hip hop, pop, R&B;0.553;1;-7.286
Coldplay;Hymn for the Weekend;258266;2015;90.027;rock, pop;0.693;0;-6.487
David Guetta;She Wolf (Falling to Pieces) [feat. Sia];222500;2012;129.973;hip hop, pop, Dance/Electronic;0.857;7;-2.634
Ludacris;Southern Hospitality (Featuring Pharrell);300933;2000;95.158;hip hop, pop;0.896;0;-4.719
Jennifer Lopez;Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix;187840;2002;100.0;hip hop, pop, R&B;0.768;6;-5.448
Iyaz;Replay;182306;2009;91.031;hip hop, pop;0.751;9;-6.323
So Solid Crew;21 Seconds;302826;2001;137.03;Dance/Electronic;0.637;1;-11.072
Ultrabeat;Pretty Green Eyes - Radio Edit;201920;2003;139.993;pop, Dance/Electronic;0.775;1;-10.284
*NSYNC;Girlfriend;253600;2001;93.967;pop;0.807;0;-5.191
Chris Brown;Beautiful People;225881;2019;127.898;hip hop, pop, R&B;0.775;5;-6.366
Westlife;My Love;231760;2000;144.142;pop;0.593;0;-5.975
Usher;OMG (feat. will.i.am);269493;2010;129.998;hip hop, pop, R&B;0.745;4;-5.81
Alesso;Heroes (we could be);209866;2014;125.876;pop, Dance/Electronic;0.754;5;-4.144
Shakira;Hips Don't Lie (feat. Wyclef Jean);218093;2005;100.024;pop, latin;0.824;10;-5.892
The Chainsmokers;Sick Boy;193200;2018;89.996;pop, Dance/Electronic;0.577;11;-7.518
Astrid S;Hurts So Good;208728;2016;120.036;rock, pop, Dance/Electronic;0.589;7;-5.008
The Roots;The Seed (2.0);267933;2002;111.121;hip hop;0.957;7;-2.281
Jennifer Lopez;I'm Gonna Be Alright (feat. Nas);172240;2002;93.401;hip hop, pop, R&B;0.69;10;-4.382
D4L;Laffy Taffy;224253;2005;77.499;hip hop, pop;0.439;7;-7.994
The Wanted;All Time Low;205200;2010;134.036;pop, Dance/Electronic;0.615;8;-5.022
Avicii;Levels - Radio Edit;199906;2011;126.04;pop, Dance/Electronic;0.889;1;-5.941
Stromae;Alors on danse - Radio Edit;206066;2010;119.951;pop;0.59;1;-9.206
Lil Jon;Snap Yo Fingers;274386;2006;82.038;hip hop, pop;0.757;8;-5.029
Flo Rida;My House;192190;2015;94.006;hip hop, pop;0.702;7;-4.792
Jagged Edge;Where the Party At (feat. Nelly);232573;2001;129.491;hip hop, pop, R&B;0.661;5;-6.239
Gabrielle;Rise;219093;2001;144.673;pop, R&B;0.481;8;-9.487
Sam Smith;Dancing With A Stranger (with Normani);171029;2019;102.998;pop;0.52;8;-7.513
B.o.B;Nothin' on You (feat. Bruno Mars);268320;2010;103.993;hip hop, pop;0.853;10;-5.814
Emeli Sandé;Read All About It, Pt. III;283706;2012;98.082;pop, R&B;0.44;2;-7.186
Keyshia Cole;Love;255333;2005;116.714;hip hop, pop, R&B;0.519;5;-4.285
Desiigner;Panda;246761;2016;144.833;hip hop, pop;0.766;10;-4.943
Drake;Take Care;277386;2011;121.845;hip hop, pop, R&B;0.515;0;-10.358
Missy Elliott;Hot Boyz;215466;1998;81.125;hip hop, pop, R&B;0.445;1;-11.241
Britney Spears;Lucky;206226;2000;95.026;pop;0.791;8;-5.707
Wiley;Wearing My Rolex - Radio Edit;170480;2008;131.942;hip hop, Dance/Electronic;0.716;1;-6.884
Blake Shelton;Honey Bee;210720;2011;205.57;country;0.849;4;-5.131
David Guetta;Without You (feat. Usher);208133;2012;127.884;hip hop, pop, Dance/Electronic;0.614;2;-3.727
Nick Jonas;Jealous - Remix;222213;2014;93.047;pop;0.709;11;-3.578
Kings of Leon;Sex on Fire;203346;2008;153.398;rock;0.905;9;-5.653
Rihanna;Unfaithful;226973;2006;144.069;hip hop, pop, R&B;0.391;0;-8.607
girl in red;we fell in love in october;184153;2018;129.959;pop, rock, Dance/Electronic;0.366;7;-12.808
Kesha;TiK ToK;199693;2010;120.028;pop, Dance/Electronic;0.837;2;-2.718
Nelly;My Place;336506;2004;163.153;hip hop, pop, R&B;0.641;1;-4.237
Years & Years;Shine;255506;2015;108.002;pop, Dance/Electronic;0.716;1;-5.21
Outkast;Hey Ya!;235213;2003;79.526;hip hop, pop;0.974;4;-2.261
Ludacris;How Low;201586;2010;143.96;hip hop, pop;0.498;1;-6.977
Kanye West;Good Life;207000;2007;82.962;hip hop;0.808;1;-6.881
P!nk;Try;247906;2012;103.998;pop;0.628;2;-7.079
DJ Snake;You Know You Like It;247266;2014;196.093;hip hop, pop, Dance/Electronic;0.725;5;-5.346
A Boogie Wit da Hoodie;Swervin (feat. 6ix9ine);189486;2018;93.023;hip hop;0.662;9;-5.239
Demi Lovato;Confident;205745;2015;130.064;pop;0.749;3;-6.251
One Direction;Perfect;230333;2015;99.933;pop;0.823;2;-5.231
Junior Senior;Move Your Feet;181826;2002;118.877;pop;0.904;9;-2.623
Lana Del Rey;Ride;289080;2012;93.763;pop;0.686;0;-5.52
Santana;Maria Maria (feat. The Product G&B);261973;1999;97.911;rock, blues, latin;0.601;2;-5.931
Gigi D'Agostino;The Riddle;285426;1999;127.002;pop;0.876;6;-6.87
David Guetta;Lovers on the Sun (feat. Sam Martin);203520;2014;124.915;hip hop, pop, Dance/Electronic;0.891;6;-2.505
Camila Cabello;Liar;207038;2019;98.016;pop;0.498;11;-6.684
Rita Ora;I Will Never Let You Down;203466;2014;128.011;hip hop, pop, Dance/Electronic;0.801;4;-3.215
Plain White T's;Hey There Delilah;232533;2005;103.971;pop;0.291;2;-10.572
Backstreet Boys;Incomplete;239586;2005;133.631;pop;0.589;4;-4.834
50 Cent;21 Questions;224440;2003;92.729;hip hop, pop;0.813;6;-3.846
James Morrison;I Won't Let You Go;229303;2011;105.955;pop, R&B;0.611;0;-6.427
Asaf Avidan & the Mojos;One Day / Reckoning Song (Wankelmut Remix) [Radio Edit];212360;2012;119.012;pop;0.676;3;-6.366
Cali Swag District;Teach Me How to Dougie;237480;2011;85.013;hip hop, pop;0.438;11;-4.981
Gabriella Cilmi;Sweet About Me;202133;2008;131.977;R&B;0.701;6;-5.035
Basshunter;All I Ever Wanted - Radio Edit;176453;2008;144.954;pop;0.984;4;-7.051
Tyga;Rack City;203200;2012;98.986;hip hop, pop;0.339;1;-10.881
Shawn Mendes;Señorita;190799;2019;116.967;pop;0.548;9;-6.049
Plies;Hypnotized (feat. Akon);188493;2007;116.59;hip hop, pop, R&B;0.571;10;-7.421
Soulja Boy;Kiss Me Thru The Phone;193386;2008;149.998;hip hop, pop;0.712;7;-3.781
Big Sean;I Don't Fuck With You;284386;2015;97.972;hip hop, pop;0.733;1;-5.474
Tamia;Stranger in My House;285386;2000;119.94;pop, R&B;0.601;0;-4.905
Lil Dicky;Freaky Friday (feat. Chris Brown);216631;2018;133.123;hip hop, pop;0.599;8;-5.042
All Saints;Pure Shores;268746;2000;100.618;pop;0.664;6;-9.197
Ray J;Sexy Can I feat. Yung Berg;204040;2008;172.155;hip hop, pop, R&B;0.684;1;-6.007
Icona Pop;I Love It (feat. Charli XCX);157152;2013;125.916;pop, Dance/Electronic;0.906;8;-2.671
The Ting Tings;Shut Up and Let Me Go;171226;2007;107.993;pop, rock, Dance/Electronic;0.927;7;-4.497
*NSYNC;Gone;292000;2001;113.922;pop;0.403;11;-8.564
Wiz Khalifa;Roll Up;227773;2011;125.358;hip hop, pop;0.805;3;-5.473
James Morrison;You Give Me Something;213173;2006;79.753;pop, R&B;0.688;7;-6.496
Dua Lipa;New Rules;212000;2017;116.01;pop;0.72;9;-5.181
JAY-Z;I Just Wanna Love U (Give It 2 Me);227866;2000;98.631;hip hop;0.922;4;-5.125
Enrique Iglesias;Escape;208626;2001;125.972;pop, latin;0.844;11;-5.305
Lil Nas X;Old Town Road;113000;2019;135.998;hip hop, pop;0.53;1;-6.112
Cardi B;Bodak Yellow;223712;2018;125.022;hip hop, pop;0.703;11;-6.337
will.i.am;Heartbreaker;327880;2007;120.051;hip hop, pop;0.549;9;-8.793
Kiiara;Gold;225882;2015;113.049;rock, pop, Dance/Electronic;0.412;8;-9.343
Migos;T-Shirt;242407;2017;139.023;hip hop, pop;0.687;10;-3.744
Russ Millions;Keisha & Becky - Remix;252906;2019;140.969;pop;0.471;6;-9.545
Miley Cyrus;Can't Be Tamed;168213;2010;116.98;pop;0.91;11;-2.919
